west,1,Gonzaga
west,2,Duke
west,3,Texas Tech
west,4,Arkansas
west,5,Connecticut
west,6,Alabama
west,7,Michigan State
west,8,Boise State
west,9,Memphis
west,10,Davidson
west,11,Notre Dame
west,11,Rutgers
west,12,New Mexico State
west,13,Vermont
west,14,Montana State
west,15,Cal State Fullerton
west,16,Georgia State
east,1,Baylor
east,2,Kentucky
east,3,Purdue
east,4,UCLA
east,5,St. Mary's (Cal.)
east,6,Texas
east,7,Murray State
east,8,North Carolina
east,9,Marquette
east,10,San Francisco
east,11,Virginia Tech
east,12,Wyoming
east,12,Indiana
east,13,Akron
east,14,Yale
east,15,Saint Peter's
east,16,Norfolk State
midwest,1,Kansas
midwest,2,Auburn
midwest,3,Wisconsin
midwest,4,Providence
midwest,5,Iowa
midwest,6,LSU
midwest,7,Southern California
midwest,8,San Diego State
midwest,9,Creighton
midwest,10,Miami (Fla.)
midwest,11,Iowa State
midwest,12,Richmond
midwest,13,South Dakota State
midwest,14,Colgate
midwest,15,Jacksonville State
midwest,16,Texas Southern
midwest,16,Texas A&M-Corpus Christi
south,1,Arizona
south,2,Villanova
south,3,Tennessee
south,4,Illinois
south,5,Houston
south,6,Colorado State
south,7,Ohio State
south,8,Seton Hall
south,9,TCU
south,10,Loyola (Ill.)
south,11,Michigan
south,12,Alabama-Birmingham
south,13,Chattanooga
south,14,Longwood
south,15,Delaware
south,16,Wright State
south,16,Bryant
